date,units_consumed,cost,notes
2026-05-14,6.82,44.33,
2026-05-15,7.4,48.1,
2026-05-16,8.72,56.68,"Weekend - guests over, AC ran all day"
2026-05-17,8.7,56.55,Weekend - laundry and extra cooking
2026-05-18,6.51,42.31,
2026-05-19,7.05,45.82,
2026-05-20,8.02,52.13,
2026-05-21,7.58,49.27,
2026-05-22,8.05,52.33,
2026-05-23,9.33,60.65,"Weekend - guests over, AC ran all day"
2026-05-24,9.48,61.62,Weekend - laundry and extra cooking
2026-05-25,7.57,49.2,
2026-05-26,6.31,41.02,
2026-05-27,8.12,52.78,
2026-05-28,7.91,51.41,
2026-05-29,7.95,51.68,
2026-05-30,8.26,53.69,"Weekend - guests over, AC ran all day"
2026-05-31,8.26,53.69,Weekend - laundry and extra cooking
2026-06-01,7.1,46.15,
2026-06-02,7.43,48.3,
2026-06-03,8.01,52.06,
2026-06-04,7.81,50.77,
2026-06-05,8.24,53.56,
2026-06-06,9.27,60.25,"Weekend - guests over, AC ran all day"
2026-06-07,9.98,64.87,Weekend - laundry and extra cooking
2026-06-08,8.28,53.82,
2026-06-09,7.58,49.27,
2026-06-10,9.28,60.32,
2026-06-11,8.51,55.31,
2026-06-12,9.0,58.5,
